bathrooms,bedrooms,city,homeStatus,homeType,livingArea,price,rentZestimate,zipcode
3.0,4.0,Kingwood,FOR_SALE,SINGLE_FAMILY,2373.0,369999.0,2299.0,77345
2.0,3.0,Huffman,FOR_SALE,SINGLE_FAMILY,1910.0,200000.0,1905.0,77336
1.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,1226.0,125000.0,1497.0,77047
2.0,4.0,Houston,FOR_SALE,MULTI_FAMILY,2741.0,319000.0,2034.0,77012
0.0,,Houston,FOR_SALE,MULTI_FAMILY,1496.0,699900.0,879.0,77026
3.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2809.0,350000.0,2650.0,77083
3.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,2080.0,349000.0,2535.0,77051
4.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,2000.0,499000.0,,77055
2.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,1502.0,190000.0,2100.0,77091
3.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,1957.0,289000.0,2050.0,77082
2.0,2.0,Houston,FOR_SALE,CONDO,1006.0,280000.0,1655.0,77019
3.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2618.0,349000.0,2764.0,77044
6.0,5.0,Houston,FOR_SALE,SINGLE_FAMILY,5328.0,3099000.0,13844.0,77024
3.0,2.0,Houston,FOR_SALE,TOWNHOUSE,1568.0,150000.0,,77092
3.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2276.0,305000.0,2199.0,77084
2.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,1558.0,260000.0,1700.0,77014
2.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,1545.0,279000.0,1849.0,77095
4.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,3055.0,765000.0,4133.0,77004
3.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2218.0,275000.0,2248.0,77044
3.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2697.0,820000.0,4422.0,77096
2.0,2.0,Houston,FOR_SALE,SINGLE_FAMILY,2180.0,635000.0,3832.0,77025
0.0,,Houston,FOR_SALE,LOT,,55000.0,,77028
2.0,2.0,Houston,FOR_SALE,CONDO,858.0,99000.0,1397.0,77054
3.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,2400.0,289900.0,2092.0,77066
4.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2620.0,379900.0,2500.0,77068
5.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,3510.0,1700000.0,10086.0,77056
2.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,1215.0,200000.0,1694.0,77015
2.0,2.0,Houston,FOR_SALE,SINGLE_FAMILY,1344.0,303000.0,2400.0,77020
2.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2258.0,360000.0,2199.0,77095
4.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,1867.0,449900.0,2900.0,77003
3.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,1490.0,699900.0,4804.0,77009
1.0,1.0,Houston,FOR_SALE,CONDO,468.0,189990.0,1117.0,77004
2.0,2.0,Houston,FOR_SALE,CONDO,1351.0,310000.0,2199.0,77019
6.0,4.0,Houston,FOR_SALE,CONDO,5486.0,3995000.0,18934.0,77027
3.0,3.0,Houston,FOR_SALE,TOWNHOUSE,2160.0,155000.0,1841.0,77032
3.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2657.0,449000.0,2500.0,77095
1.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,898.0,159900.0,1346.0,77033
3.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,2240.0,345000.0,2850.0,77025
0.0,,Houston,FOR_SALE,LOT,,650000.0,1125.0,77006
2.0,2.0,Houston,FOR_SALE,CONDO,1206.0,385000.0,1719.0,77002
0.0,,Houston,FOR_SALE,LOT,,650000.0,4413.0,77006
